increases^abundance	Succinic Acid	BCL2	0.73071243563422	
increases^abundance	agathisflavone	BCL2 	0.7303145446231	
increases^abundance	C646 compound	BCL2	0.7303250025749124	
increases^glucuronidation	Calcium, RELA	0.7301309630628967
decreases^reaction	m-(N,N,N-trimethylammonio)trifluoroacetophenone	PTGS2	0.6833288073539734
increases^acetylation	Maxepa	VEGFA	0.6833281517028809
decreases^sumoylation	riociguat	PARP1	0.683316171169281
decreases^reaction	6-chloro-5-methyl-1-((2-(2-methylpyrid-3-yloxy)pyrid-5-yl)carbamoyl)indoline	PTGS2	0.6833157539367676
increases^expression	N-nitrosomorpholine	VEGFA	0.6833047270774841
affects^cotreatment	Phenylmercuric Acetate	CDKN1A	0.683302640914917
decreases^reaction	4(2'-aminoethyl)amino-1,8-dimethylimidazo(1,2-a)quinoxaline	BCL2	0.6832880973815918
decreases^reaction	peoniflorin	PTGS2	0.6832838654518127
decreases^expression	dibenzoylmethane	CDKN1A	0.6832817196846008
decreases^metabolic processing	2-Propanol	BCL2	0.6832779049873352
increases^abundance	Sulindac	IL1B	0.6832692623138428
decreases^reaction	naringin	MMP9	0.6832684278488159
increases^hydroxylation	Oligomycins	BAX	0.683262825012207
decreases^sumoylation	4-chloro-1,2-diaminobenzene	PARP1	0.6832611560821533
affects^localization	coenzyme Q10	VEGFA	0.6832606196403503
decreases^reaction	decanaldehyde	CASP8	0.6832523345947266
decreases^phosphorylation	dimethoxycurcumin	TP53	0.6832439303398132
decreases^sumoylation	N-desmethyltamoxifen	BAX	0.6832355856895447
decreases^sumoylation	magnolialide	PARP1	0.6832253932952881
increases^degradation	ABT-737	SOD2	0.6832196712493896
decreases^localization	LFM A13	APC	0.6832180023193359
increases^hydroxylation	isoangustone A	VEGFA	0.6832155585289001
affects^cotreatment	Methylene Blue	PTGS2	0.6832151412963867
decreases^sumoylation	SDZ EAA 494	PARP1	0.6832097172737122
decreases^methylation	Alanine	DNMT1	0.6832057237625122
decreases^methylation	Vasodilator Agents	DNMT1	0.6832057237625122
decreases^methylation	hecogenin	DNMT1	0.6832057237625122
decreases^methylation	Food Additives	DNMT1	0.6832057237625122
decreases^methylation	1-(4-(octahydropyrido(1,2-a)pyrazin-2-yl)phenyl)-2-phenyl-1,2,3,4-tetrahydroisoquinolin-6-ol	DNMT1	0.6832057237625122
decreases^methylation	9-nitroanthracene	DNMT1	0.6832057237625122
decreases^methylation	N-((2,2-dimethyl-2,3-dihydrobenzofuran-7-yloxy)ethyl)-3-(cyclopent-1-enyl)benzylamine	DNMT1	0.6832057237625122
decreases^methylation	peonidin	DNMT1	0.6832057237625122
decreases^methylation	mecarbam	DNMT1	0.6832057237625122
decreases^methylation	acephate	DNMT1	0.6832057237625122
decreases^methylation	CGP 20712A	DNMT1	0.6832057237625122
decreases^methylation	octamethylcyclotetrasiloxane	DNMT1	0.6832057237625122
decreases^methylation	erucylphosphocholine	DNMT1	0.6832057237625122
decreases^methylation	tetrabromobisphenol A-bisallylether	DNMT1	0.6832057237625122
decreases^methylation	oxodiperoxo(pyridine-2-carboxylate)vanadate(V)	DNMT1	0.6832057237625122
decreases^methylation	difluoroacetic acid	DNMT1	0.6832057237625122
decreases^methylation	K075 compound	DNMT1	0.6832057237625122
decreases^methylation	dipropyl sulfide	DNMT1	0.6832057237625122
decreases^methylation	GR 103691	DNMT1	0.6832057237625122
decreases^methylation	bistratene A	DNMT1	0.6832057237625122
decreases^methylation	imetit	DNMT1	0.6832057237625122
decreases^reaction	1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine	JUN	0.6832046508789062
decreases^reaction	Tolu balsam	CASP8	0.6831982135772705
increases^hydroxylation	ginsenoside Rk1	APC	0.6831977367401123
affects^transport	Ruthenium Compounds	BCL2	0.6831949353218079
decreases^sumoylation	corynoxine B	RELA	0.6831866502761841
decreases^abundance	3,4,8-trimethylimidazo(4,5-f)quinoxalin-2-amine	TP53	0.6831853985786438
increases^hydroxylation	Coal Tar	VEGFA	0.6831740140914917
increases^abundance	9-methoxycamptothecin	AKT1	0.6831722855567932
decreases^metabolic processing	Carbamates	BCL2	0.6831716895103455
affects^abundance	Spermine	CDKN1A	0.6831688284873962
decreases^reaction	Stavudine	BAX	0.6831681728363037
decreases^reaction	liranaftate	BAX	0.6831634640693665
decreases^sumoylation	OSU-HDAC42 compound	MMP9	0.6831620335578918
decreases^reaction	Bortezomib	BAX	0.6831604242324829
increases^mutagenesis	N-acetylsphingosine	MMP9	0.6831540465354919
decreases^reaction	10-(alpha-diethylaminopropionyl)phenothiazine	CASP8	0.6831483244895935
decreases^sumoylation	ponceau MX	PARP1	0.6831424236297607
increases^hydroxylation	ginsenoside Rk1	BAX	0.6831372976303101
increases^acetylation	RG7112	BAX	0.683129072189331
increases^transport	H 2545	PTGS2	0.6831184029579163
increases^metabolic processing	Dimethylhydrazines	ACTA2	0.6831165552139282
affects^cotreatment	Dietary Fats	BAX	0.683114767074585
decreases^sumoylation	efavirenz	BCL2	0.6831143498420715
decreases^reaction	benzyloxycarbonyl-phenylalanylarginine-4-methylcoumaryl-7-amide	CASP8	0.6831119656562805
decreases^sumoylation	mitemcinal	VEGFA	0.6831085085868835
affects^cotreatment	6,2',4'-trimethoxyflavone	NOS2	0.6831068396568298
decreases^reaction	PD 161570	BAX	0.6831064224243164
decreases^sumoylation	GW 7647	VEGFA	0.6831039786338806
decreases^reaction	3,4-Methylenedioxyamphetamine	CDKN1A	0.6831039786338806
increases^expression	INCB018424	VEGFA	0.6831027269363403
decreases^sumoylation	11,17-dihydroxy-6-methyl-17-(1-propynyl)androsta-1,4,6-triene-3-one	VEGFA	0.6830987334251404
decreases^reaction	daidzein	RELA	0.6830974221229553
decreases^reaction	Propofol	SOD2	0.6830747127532959
affects^export	pyrovalerone	CASP8	0.6830660104751587
decreases^sumoylation	1-naphthaldehyde	PARP1	0.6830630302429199
decreases^expression	mirabijalone E	BCL2	0.6830613613128662
decreases^reaction	safranal	CASP8	0.683060348033905
increases^expression	5,7-dihydroxy-6-methoxy-2-phenylchromen-4-one	MMP9	0.6830494403839111
affects^binding	Bucladesine	SOD2	0.6830482482910156
decreases^sumoylation	epothilone B	CASP8	0.6830358505249023
increases^secretion	sodium arsenite	VEGFA	0.6830301880836487
decreases^sumoylation	ponceau MX	VEGFA	0.6830296516418457
decreases^reaction	GW 4064	IL1B	0.6830289959907532
decreases^reaction	didymin	BAX	0.6830266714096069
decreases^sumoylation	croneton	PARP1	0.6830258965492249
decreases^reaction	androstane-3,17-diol dipropionate	BAX	0.6830236911773682
decreases^reaction	EZN 2968	CASP8	0.6830223202705383
increases^activity	Eugenol	MMP9	0.6830198764801025
decreases^reaction	Lactates	BAX	0.6830171346664429
decreases^reaction	Clobetasol	RELA	0.6830170750617981
decreases^reaction	oleuropein	ICAM1	0.6830111145973206
increases^hydroxylation	genapol X 080	SOD2	0.6830106973648071
affects^abundance	Probenecid	SOD2	0.6830029487609863
increases^sulfation	malvidin-3-O-glucoside-4 vinyl	AKT1	0.6830013394355774
affects^transport	Oxypurinol	CCND1	0.6829982995986938
increases^metabolic processing	Dimethylhydrazines	BCL2	0.682989239692688
affects^methylation	Dacarbazine	VEGFA	0.6829876899719238
decreases^reaction	Triflupromazine	BAX	0.682986855506897
decreases^reaction	camphorquinone	MMP9	0.6829866766929626
decreases^sumoylation	Lanthanum	AKT1	0.6829841732978821
affects^cotreatment	Linoleic Acid	BCL2	0.6829763054847717
decreases^sumoylation	3,5-dibromosalicylaldehyde	PARP1	0.6829749345779419
decreases^reaction	hexamethylcyclotrisiloxane	CASP8	0.6829724907875061
affects^splicing	methylformamide	BCL2	0.6829711198806763
decreases^reaction	Chlorpyrifos	BCL2	0.682963490486145
decreases^reaction	Methionine	NFKB1	0.6829603314399719
decreases^sumoylation	sinomenine	MMP9	0.682953417301178
increases^degradation	ABT-737	CDKN1A	0.68294757604599
decreases^reaction	Ethinyl Estradiol	ID3	0.6829468011856079
decreases^reaction	puerarin	CCND1	0.6829408407211304
affects^activity	Benzo(a)pyrene	TP53	0.68293696641922
decreases^expression	cadmium sulfate	TP53	0.682936429977417
decreases^reaction	Mevalonic Acid	AKT1	0.6829327344894409
decreases^reaction	Atrazine	CCND2	0.6829286813735962
affects^response to substance	2-aminofluorene	CTNNB1	0.6829231381416321
decreases^sumoylation	1,2-dihydroxy-1,2-dihydronaphthalene	PARP1	0.6829124093055725
decreases^sumoylation	angiotensin I (1-9)	CASP8	0.6829119324684143
decreases^reaction	prostaglandin B1	CASP8	0.6829072833061218
decreases^sumoylation	1-cyclopropyl-3-(3-(5-morpholin-4-ylmethyl-1H-benzoimidazol-2-yl)-1H-pyrazol-4-yl)urea	VEGFA	0.6829068064689636
increases^sulfation	Organogold Compounds	TP53	0.6829032897949219
decreases^sumoylation	danofloxacin	VEGFA	0.6828966736793518
affects^methylation	7,14-dihydroxydocosa-4,8,10,12,16,19-hexaenoic acid	APC	0.6828954815864563
affects^splicing	sesamin	VEGFA	0.682890772819519
decreases^reaction	praeruptorin C	AKT1	0.6828882098197937
decreases^reaction	1-phenyl-6,7-dihydroxy-isochroman	ACTA2	0.6828769445419312
increases^hydroxylation	Fluvoxamine	CASP8	0.6828750371932983
decreases^sumoylation	3-hydroxybenzaldehyde	VEGFA	0.6828747391700745
decreases^metabolic processing	2-Propanol	CASP8	0.6828744411468506
decreases^abundance	ponatinib	APC	0.6828700304031372
increases^expression	S-(1,2-dichlorovinyl)cysteine	BCL2	0.6828609704971313
decreases^sumoylation	Dronedarone	BCL2	0.6828567385673523
decreases^reaction	11-oxo-delta(8)-tetrahydrocannabinol	CDKN1A	0.6828556060791016
decreases^reaction	gambierol	BCL2	0.6828555464744568
decreases^sumoylation	Central Nervous System Agents	VEGFA	0.6828495860099792
decreases^reaction	MRK 003	HES1	0.6828414797782898
decreases^reaction	8-hydroxyoctanoic acid	BAX	0.6828405261039734
decreases^sumoylation	azidoprazosin	PARP1	0.682837188243866
decreases^sumoylation	alpha-terpineol	VEGFA	0.6828355193138123
decreases^sumoylation	carbonyl sulfide	SOD2	0.682835042476654
increases^hydroxylation	Oligomycins	APC	0.6828305721282959
decreases^metabolic processing	arginyl-glycyl-aspartic acid	APC	0.6828255653381348
increases^expression	Maprotiline	NOS2	0.6828234195709229
decreases^sumoylation	7,8-dihydrobiopterin	CASP8	0.6828193068504333
increases^expression	o-Phthalaldehyde	IL1B	0.6828044056892395
decreases^localization	1-aminobenzotriazole	PARP1	0.6828038096427917
decreases^reaction	Ornidazole	CASP8	0.6827980875968933
increases^hydroxylation	BV6 peptide	CCND1	0.68278968334198
decreases^reaction	Phenobarbital	CTNNB1	0.682782769203186
affects^cotreatment	cinnabar	RELA	0.6827815771102905
decreases^reaction	5-hydroxy-6,8,11,14,17-eicosapentaenoic acid	MMP9	0.6827784776687622
affects^cotreatment	bis(4-hydroxyphenyl)sulfone	CTNNB1	0.6827783584594727
decreases^sumoylation	Heymann Nephritis Antigenic Complex	MMP9	0.6827759146690369
decreases^sumoylation	caffeine, sodium benzoate drug combination	CASP8	0.6827599406242371
affects^binding	Dasatinib	AKT1	0.6827591061592102
affects^localization	Mesalamine	AKT1	0.6827477812767029
decreases^sumoylation	Melanocyte-Stimulating Hormones	CASP8	0.6827434301376343
increases^sulfation	NS 1619	SOD2	0.6827430725097656
decreases^reaction	SCIO-469	DNMT1	0.6827417612075806
decreases^reaction	adriamycinol	BAX	0.6827389001846313
increases^abundance	Spermidine	ODC1	0.6827244758605957
decreases^reaction	4,5-amino-3,5-dichloro-6-fluoro-2-pyridinyloxyacetic acid	BAX	0.6827204823493958
increases^hydroxylation	bafilomycin A	BCL2	0.6827197074890137
increases^hydroxylation	HIV Envelope Protein gp120	BCL2	0.682718813419342
decreases^reaction	Plant Extracts	PARP1	0.6827153563499451
decreases^reaction	1-(beta-naphthylmethyl)-6,7-dihydroxy-1,2,3,4-tetra-hydroisoquinoline	CCND1	0.6827040910720825
decreases^reaction	triaquaoxohexakis(propionato)trichromium(III)	CDKN1A	0.6827030181884766
decreases^reaction	naphthalene 1,2-oxide	AKT1	0.6826978325843811
decreases^reaction	2-(2-aminoethyl)thiazole	PTGS2	0.6826849579811096
decreases^reaction	3-(4-methylphenylsulfonyl)-2-propenenitrile	CDH1	0.682678759098053
decreases^reaction	Spironolactone	VEGFA	0.6826784610748291
decreases^expression	ON123300	MYC	0.6826754212379456
affects^splicing	terbutylazine	BAX	0.6826726198196411
increases^acetylation	RG7112	TP53	0.6826688647270203
affects^cotreatment	Cacodylic Acid	AKT1	0.6826615333557129
decreases^sumoylation	Glucosinolates	CASP8	0.682658314704895
decreases^sumoylation	U 73343	PARP1	0.6826475262641907
affects^transport	HU 308	TP53	0.6826469302177429
affects^reaction	rebaudioside A	LEP	0.6826435327529907
decreases^sumoylation	CAY10506	VEGFA	0.6826410293579102
decreases^chemical synthesis	phenylhydrazine	AKT1	0.6826367378234863
decreases^metabolic processing	24-hydroxycholesterol	VEGFA	0.6826353073120117
decreases^activity	Copper	TP53	0.6826311945915222
affects^cotreatment	Ethinyl Estradiol	PARP1	0.6826281547546387
increases^abundance	Amlodipine	HSPB1	0.6826230883598328
affects^cotreatment	Methylene Blue	ACTA2	0.6826221346855164
decreases^sumoylation	nociceptin (1-13)-NH2, Phe(1)-psi(CH2-NH)-Gly(2)-	MMP9	0.6825957894325256
decreases^reaction	Isosorbide Dinitrate	CASP8	0.682595431804657
increases^expression	lewisite	VEGFA	0.6825948357582092
affects^localization	Albuterol	MMP9	0.6825907826423645
decreases^sumoylation	Mestranol	RELA	0.6825902462005615
increases^hydroxylation	acanthoic acid	MMP9	0.6825845837593079
affects^transport	bis(4-hydroxycinnamoyl)methane	DNMT1	0.682584285736084
affects^localization	quizartinib	HSPB1	0.6825836896896362
decreases^phosphorylation	Fish Oils	CCND1	0.682576596736908
affects^splicing	Bromocriptine	CCND1	0.6825761795043945
increases^transport	dehydroepiandrosterone-bovine serum albumin	CTNNB1	0.6825723648071289
decreases^sumoylation	25-hydroxyvitamin D	CASP8	0.6825710535049438
increases^reaction	carboxymethyl-chitosan	PARP1	0.6825664639472961
decreases^reaction	GW0072	CTNNB1	0.6825632452964783
increases^ubiquitination	convulxin	CCND1	0.6825602054595947
increases^ubiquitination	2,4-Dinitrophenol	BCL2	0.6825507283210754
decreases^sumoylation	Flavin Mononucleotide	MMP9	0.6825492978096008
increases^hydroxylation	SU 9516	BAX	0.6825393438339233
increases^hydroxylation	Guanosine	MMP9	0.6825384497642517
decreases^abundance	Carbonyl Cyanide m-Chlorophenyl Hydrazone	CCND1	0.6825360655784607
increases^degradation	Diethylhexyl Phthalate	RELA	0.6825271248817444
decreases^sumoylation	artemisin	MMP9	0.6825204491615295
increases^uptake	Citalopram	DNMT1	0.6825137138366699
increases^hydroxylation	alpha-hexachlorocyclohexane	APC	0.6825113296508789
decreases^sumoylation	1-(4-bromophenylaminocarbonyl)-4,5-diphenyl-3-pyrazolidinone	MMP9	0.6825109124183655
decreases^reaction	MC1568	PTGS2	0.6825061440467834
increases^hydroxylation	Ketone Bodies	CCND1	0.6825041174888611
decreases^sumoylation	N-acetylserotonin	VEGFA	0.6825023889541626
affects^transport	farnesyl pyrophosphate	BCL2	0.682496964931488
decreases^sumoylation	chymostatin	CASP8	0.6824944615364075
increases^expression	diacetylcurcumin	PTGS2	0.6824924945831299
affects^abundance	ethylene dichloride	AKT1	0.6824895739555359
increases^expression	alsterpaullone	TP53	0.6824889183044434
affects^response to substance	Amphetamine	AKT1	0.682485818862915
decreases^phosphorylation	Epirubicin	APC	0.6824846863746643
increases^hydroxylation	Coal Tar	CDKN1A	0.6824824810028076
decreases^sumoylation	OSU-HDAC42 compound	SOD2	0.6824745535850525
increases^sulfation	aspartyl-glutamyl-valyl-aspartyl-p-nitroanilide	DNMT1	0.6824682354927063
affects^phosphorylation	Reactive Oxygen Species	EGFR	0.6824631690979004
decreases^reaction	Methylprednisolone	BAX	0.682462215423584
decreases^reaction	camphorquinone	BCL2	0.6824614405632019
decreases^reaction	naphthalene 1,2-oxide	SOD2	0.6824546456336975
decreases^reaction	afimoxifene	CCND1	0.6824538707733154
affects^localization	Albuterol	ACTA2	0.6824527978897095
affects^splicing	terbutylazine	VEGFA	0.6824443340301514
decreases^sumoylation	terodiline	MMP9	0.6824426054954529
decreases^reaction	cinobufotalin	SOD2	0.6824383735656738
decreases^reaction	Grape Seed Proanthocyanidins	BCL2	0.6824091076850891
increases^ubiquitination	4-amino-2-trifluoromethyl-phenyl retinate	TP53	0.6824074387550354
increases^acetylation	Diamide	APC	0.6824011206626892
decreases^reaction	magnolol	CTNNB1	0.6823898553848267
increases^hydroxylation	nitrofen	APC	0.6823811531066895
decreases^sumoylation	pregnanediol-3 alpha-glucuronide	MMP9	0.682376503944397
increases^metabolic processing	5-Methoxypsoralen	APC	0.6823738813400269
decreases^sumoylation	pyrachlostrobin	HSPB1	0.6823709011077881
affects^localization	Lamivudine	CCND1	0.6823661923408508
decreases^reaction	3-amino-1,4-dimethyl-5H-pyrido(4,3-b)indole	MMP9	0.6823654770851135
increases^methylation	Lysophosphatidylcholines	ACTA2	0.6823570132255554
decreases^expression	obacunone	CASP8	0.6823539733886719
decreases^sumoylation	Ruthenium	TP53	0.6823505759239197
decreases^localization	glabridin	CCND1	0.6823461055755615
decreases^metabolic processing	Pentamidine	CASP8	0.6823427081108093
affects^transport	BQ 610	DNMT1	0.6823403239250183
affects^splicing	terbutylazine	BCL2	0.6823400259017944
increases^acetylation	copper-1,10-phenanthroline	TP53	0.6823389530181885
affects^methylation	Safrole	ACTA2	0.6823232173919678
increases^transport	glutamyl-Se-methylselenocysteine	CDKN1A	0.6823214292526245
affects^expression	Butyrates	PTGS2	0.682314932346344
decreases^activity	2-amino-9H-pyrido(2,3-b)indole	RELA	0.6823006272315979
increases^acetylation	polygodial	PTGS2	0.6822895407676697
increases^O-linked glycosylation	Heparin	AKT1	0.6822875738143921
decreases^sumoylation	2-(beta-(3-iodo-4-hydroxyphenyl)ethylaminomethyl)tetralone	MMP9	0.6822851896286011
decreases^reaction	Apigenin	BAX	0.6822813749313354
increases^uptake	Paraoxon	HSPB1	0.6822658777236938
decreases^sumoylation	PGW5 compound	MMP9	0.682263970375061
increases^sulfation	NS 1619	APC	0.6822569370269775
increases^hydroxylation	lipopolysaccharide A	SOD2	0.6822555065155029
decreases^sumoylation	Furosemide	PTGS2	0.6822549104690552
affects^binding	Taurine	AKT1	0.6822530627250671
decreases^reaction	Chlorpyrifos	SOD2	0.6822508573532104
decreases^sumoylation	fluorocitrate	MMP9	0.6822469830513
decreases^reaction	Oleic Acid	LEP	0.6822353005409241
decreases^reaction	palbociclib	PARP1	0.6822283267974854
decreases^methylation	N-ethyl-3-fluoro-3-(3-fluoro-4-(pyrrolidinylmethyl)phenyl)cyclobutanecarboxamide	APC	0.6822270154953003
decreases^methylation	4-iodo-N-(4-(4-(2-methoxyphenyl)piperazin-1-yl)butyl)cinnamoylamide	APC	0.6822270154953003
decreases^methylation	Safflower Oil	APC	0.6822270154953003
decreases^methylation	fimasartan	APC	0.6822270154953003
decreases^methylation	allyl 2,4,6-tribromophenyl ether	APC	0.6822270154953003
decreases^methylation	N-((2,2-dimethyl-2,3-dihydrobenzofuran-7-yloxy)ethyl)-3-(cyclopent-1-enyl)benzylamine	APC	0.6822270154953003
decreases^methylation	Triamcinolone Acetonide	APC	0.6822270154953003
decreases^methylation	oxodiperoxo(pyridine-2-carboxylate)vanadate(V)	APC	0.6822270154953003
decreases^methylation	naphthacene	APC	0.6822270154953003
decreases^methylation	Isosorbide	APC	0.6822270154953003
affects^transport	estradiol 3-benzoate	CDKN1A	0.6822200417518616
increases^chemical synthesis	Paraquat	SOD2	0.6822184920310974
affects^transport	3-hydroxybenzeneacetic acid	CASP8	0.6822184920310974
affects^abundance	Roxithromycin	APC	0.6822178959846497
decreases^reaction	bitertanol	AKT1	0.682213544845581
decreases^activity	PP242	MTOR	0.6822134256362915
increases^phosphorylation	ethylene dichloride	AKT1	0.6822113990783691
decreases^sumoylation	BHTOH-QM	SOD2	0.6822006106376648
affects^cotreatment	4,5-dicaffeoyl quinic acid	ACTA2	0.6821765303611755
decreases^sumoylation	Immunologic Factors	HSPB1	0.6821684837341309
increases^expression	Dietary Fats, Unsaturated	LPL	0.6821607947349548
increases^localization	Diazepam	NFKB1	0.6821592450141907
increases^abundance	Copper	ACTA2	0.6821545958518982
increases^expression	LYR 71	MMP9	0.6821500062942505
decreases^transport	Asbestos, Crocidolite	VEGFA	0.682148277759552
decreases^reaction	7,13-bis(4-nitrobenzyl)-1,4,10-trioxa-7,13-diazacyclopentadecane	AKT1	0.6821444630622864
decreases^reaction	1-methyl-2-phenylindole	AKT1	0.6821410655975342
decreases^reaction	triaquaoxohexakis(propionato)trichromium(III)	AKT1	0.6821336150169373
affects^abundance	norbinaltorphimine	MMP9	0.6821335554122925
increases^transport	S110 compound	ACTA2	0.6821334362030029
increases^expression	Orlistat	CDKN1A	0.6821293234825134
increases^transport	abanoquil	BCL2	0.6821292638778687
decreases^reaction	I-152 compound	MMP9	0.6821285486221313
decreases^reaction	Doxorubicin	PTGS2	0.6821255683898926
increases^O-linked glycosylation	Luteolin	ACTA2	0.6821218729019165
decreases^localization	methyl caffeate	CASP8	0.6821212768554688
affects^transport	estradiol 3-benzoate	PTGS2	0.6821179986000061
increases^expression	Mercaptopurine	SOD2	0.6821167469024658
affects^expression	3,4,5,3',4'-pentachlorobiphenyl	PTGS2	0.6821165680885315
decreases^phosphorylation	isosakuranetin	AKT1	0.6821087598800659
increases^hydroxylation	pimaric acid	CASP8	0.682102382183075
increases^hydroxylation	pseudoisocyanine	SOD2	0.6821004152297974
increases^hydroxylation	Sialyl Lewis X Antigen	SOD2	0.6821004152297974
decreases^sumoylation	tipepidine	SOD2	0.682099461555481
decreases^reaction	Peruvian balsam	CDKN1A	0.6820896863937378
decreases^reaction	O(2)-(2,4-dinitrophenyl) 1-((4-ethoxycarbonyl)piperazin-1-yl)diazen-1-ium-1,2-diolate	JUN	0.6820895671844482
decreases^reaction	alanyl-4-methoxy-2-naphthylamide	AKT1	0.6820847392082214
decreases^reaction	acipimox	AKT1	0.6820841431617737
decreases^sumoylation	N-methyl-7H-dibenzo(c,g)carbazole	SOD2	0.6820695996284485
decreases^reaction	cocaethylene	AKT1	0.6820632219314575
decreases^phosphorylation	Taurine	MTOR	0.6820616722106934
increases^acetylation	Butyrophenones	TP53	0.6820536255836487
decreases^reaction	Triprolidine	AKT1	0.6820523142814636
increases^metabolic processing	5-Methoxypsoralen	CCND1	0.6820505261421204
decreases^transport	Asbestos, Crocidolite	ACTA2	0.6820457577705383
decreases^reaction	neoechinulin A	PTGS2	0.6820403933525085
decreases^sumoylation	Phytoestrogens	CCND1	0.6820384860038757
decreases^reaction	4-ethynylbiphenyl	AKT1	0.6820286512374878
affects^localization	Albuterol	SOD2	0.682025134563446
decreases^sumoylation	Toxins, Biological	SOD2	0.6820228099822998
increases^hydroxylation	cupric acetate	CCND1	0.6820220351219177
decreases^sumoylation	11,17-dihydroxy-6-methyl-17-(1-propynyl)androsta-1,4,6-triene-3-one	SOD2	0.6820103526115417
affects^transport	isolevin	BCL2	0.6820103526115417
decreases^reaction	17,20-dihydroxyvitamin D2	AKT1	0.6820091605186462
decreases^sumoylation	Sevelamer	SOD2	0.6820083856582642
increases^chemical synthesis	Resveratrol	PTGS2	0.6820073127746582
increases^abundance	Ethanol	BCL2	0.6820040345191956
affects^methylation	Safrole	DNMT1	0.6820014715194702
affects^transport	3-hydroxybenzeneacetic acid	APC	0.6819904446601868
affects^localization	K-12 lipopolysaccharide	RELA	0.68198561668396
decreases^reaction	suplatast tosilate	AKT1	0.6819751262664795
affects^transport	estradiol 3-benzoate	BAX	0.6819748282432556
increases^abundance	pyrimidin-2-one beta-ribofuranoside	VEGFA	0.6819640398025513
decreases^sumoylation	4-hydroxy-2-nonenoic acid	SOD2	0.6819612979888916
decreases^sumoylation	6-hydroxyflavone	SOD2	0.6819547414779663
increases^chemical synthesis	diethyl maleate	NOS2	0.6819542050361633
decreases^activity	ginsenoside M1	RELA	0.6819531917572021
decreases^sumoylation	ponceau MX	SOD2	0.6819424629211426
decreases^reaction	dabrafenib	PTGS2	0.6819408535957336
increases^hydroxylation	ethylene glycol monohexyl ether	CCND1	0.6819377541542053
decreases^reaction	5-pregnene-3,20-diol	CDKN1A	0.6819313168525696
decreases^reaction	thermozymocidin	ODC1	0.6819291114807129
increases^sulfation	Ethylenethiourea	TP53	0.6819274425506592
decreases^reaction	Butyric Acid	CDKN1A	0.6819273829460144
decreases^activity	aciculatin	RELA	0.6819269061088562
increases^abundance	isosakuranetin	TP53	0.6819249987602234
increases^hydroxylation	potassium perchlorate	BCL2	0.681916356086731
decreases^localization	methyl caffeate	RELA	0.6819151639938354
decreases^sumoylation	metolcarb	SOD2	0.6819109320640564
decreases^reaction	2,4,6-tris(2,4,6-tribromophenoxy)-1,3,5-triazine	CDKN1A	0.681903600692749
increases^hydroxylation	3,7-dimethoxyflavone	SOD2	0.6818971037864685
decreases^sumoylation	nociceptin (1-13)-NH2, Phe(1)-psi(CH2-NH)-Gly(2)-	SOD2	0.6818953156471252
increases^degradation	ABT-737	HSPB1	0.6818923354148865
increases^acetylation	Heterocyclic Compounds, 3-Ring	PARP1	0.6818895936012268
decreases^activity	Hydrogen	CASP8	0.6818859577178955
decreases^reaction	1-methylpyrene	SULT1A1	0.6818830966949463
decreases^reaction	2''-galloylhyperin	BAX	0.6818731427192688
increases^sulfation	4-nitro-3-cresol	HSPB1	0.6818681955337524
decreases^reaction	4-benzyl-2-methyl-1,2,4-thiadiazolidine-3,5-dione	BCL2	0.6818671226501465
decreases^expression	Dimaprit	JUN	0.6818656325340271
decreases^sumoylation	corynoxine B	APC	0.6818499565124512
decreases^reaction	Uridine	AKT1	0.6818472146987915
affects^transport	dihydrocapsaicin	VEGFA	0.6818405389785767
increases^hydroxylation	Ergot Alkaloids	SOD2	0.6818365454673767
affects^transport	methyl iodide	BCL2	0.6818321943283081
decreases^reaction	ethinyl estradiol-desogestrel combination	SOD2	0.6818317174911499
increases^chemical synthesis	tinuvin	RELA	0.6818305850028992
affects^localization	mangostin	RELA	0.681829571723938
decreases^metabolic processing	selenomethylselenocysteine	PARP1	0.6818264126777649
decreases^reaction	naringin	CTNNB1	0.6818261742591858
decreases^sumoylation	carbonyl sulfide	ACTA2	0.6818260550498962
increases^hydroxylation	2-hydroxyisobutyric acid	CCND1	0.6818253993988037
decreases^sumoylation	mansonone G	SOD2	0.6818248629570007
decreases^reaction	fumagillin	SOD2	0.6818206906318665
decreases^reaction	4-ipomeanol	CDKN1A	0.681817352771759
increases^hydroxylation	zinc nitrate	SOD2	0.6818143725395203
increases^phosphorylation	sophocarpine	BAX	0.6818134188652039
decreases^reaction	Carbimazole	CDKN1A	0.6818093061447144
decreases^activity	naphthalene	EGFR	0.6818036437034607
decreases^degradation	Simvastatin	CDKN1A	0.6818001866340637
affects^transport	moxestrol	BCL2	0.6817978024482727
affects^expression	tetrabromobisphenol A	BIRC5	0.6817936897277832
affects^expression	bisphenol A	MMP7	0.6817915439605713
increases^sulfation	Organogold Compounds	PTGS2	0.6817892789840698
increases^hydroxylation	MCC-950	MMP9	0.6817867755889893
decreases^sumoylation	Mestranol	AKT1	0.6817848086357117
increases^hydroxylation	11-hexadecenal	CCND1	0.6817817687988281
decreases^reaction	Tamoxifen	AURKA	0.681781530380249
increases^transport	BMS 754807	PTGS2	0.6817813515663147
decreases^reaction	N-7-(2-(nitrophenyldithio)ethyl)mitomycin C	CDKN1A	0.6817799210548401
increases^hydroxylation	isoangustone A	DNMT1	0.6817790865898132
